Bimp,Bter
BIMP13364,
BIMP21805,LOC100643955
BIMP23764,LOC100647734
BIMP12958,
BIMP13608,LOC105665926
BIMP11233,LOC100649165
BIMP18328,LOC100649889
BIMP24579,LOC100647928
BIMP15639,LOC100644229
BIMP10932,LOC105667105
BIMP16187,
BIMP16539,LOC100643305
BIMP24825,LOC100650173
BIMP16643,
BIMP18903,LOC100643762
BIMP11659,LOC100649951
BIMP16468,LOC100649272
BIMP11200,
BIMP10121,LOC105667000
BIMP20319,LOC100645582
BIMP10126,LOC100645145
BIMP17523,LOC105667070
BIMP22204,LOC100652068
BIMP24295,
BIMP19471,LOC100648489
BIMP21399,
BIMP19091,
BIMP20490,LOC100643024
BIMP10198,LOC100642816
BIMP17978,
BIMP12505,LOC100646147
BIMP20849,
BIMP22414,
BIMP14478,LOC105665676
BIMP15180,
BIMP10088,LOC100642495
BIMP16216,LOC110119461
BIMP16124,
BIMP18010,LOC105666542
BIMP15082,LOC100649520
BIMP19142,LOC100646554
BIMP19701,
BIMP17424,LOC100648911
BIMP19341,
BIMP23626,LOC100645719
BIMP15520,LOC110119994
BIMP18871,LOC100646703
BIMP25828,LOC100651751
BIMP19123,LOC100649346
BIMP15638,
BIMP12788,
BIMP15688,LOC100645541
BIMP12552,
BIMP14549,
BIMP10402,LOC100645318
BIMP10464,
BIMP14832,LOC100651264
BIMP12117,LOC100648690
BIMP16730,LOC100645145
BIMP23215,LOC105665866
BIMP23926,LOC100650583
BIMP17812,LOC100644396
BIMP10927,LOC100646577
BIMP20019,LOC100647048
BIMP12827,
BIMP16681,
BIMP18242,LOC105666817
BIMP18242,LOC100642779
BIMP24937,LOC100652088
BIMP20792,LOC100645147
BIMP12783,
BIMP13398,
BIMP19107,LOC100650536
BIMP23541,LOC100648143
BIMP14206,
BIMP13118,LOC100647891
BIMP17775,
BIMP20610,LOC100651376
BIMP14303,LOC105666942
BIMP25681,
BIMP20794,
BIMP13761,LOC100650989
BIMP22203,LOC100651710
BIMP25180,
BIMP22088,LOC100649831
BIMP13961,LOC100649285
BIMP23590,LOC100649707
BIMP24682,LOC100650624
BIMP16764,
BIMP14619,LOC100645393
BIMP22058,LOC100646914
BIMP25792,LOC100650477
BIMP16938,LOC100651746
BIMP14125,
BIMP15751,LOC100643714
BIMP20084,LOC100647634
BIMP25531,LOC100643724
BIMP23458,LOC100651342
BIMP11321,
BIMP19393,LOC100643864
BIMP14258,
BIMP23624,LOC100649383
BIMP18390,LOC100645020
BIMP18732,LOC100649448
BIMP20891,
BIMP10999,
BIMP18917,LOC100646061
BIMP10310,LOC100647703
BIMP23683,
BIMP10718,LOC100643126
BIMP19116,LOC100652133
BIMP14828,LOC100642468
BIMP21774,LOC110120243
BIMP13973,
BIMP10588,LOC100651587
BIMP21665,
BIMP18505,LOC100649777
BIMP20918,
BIMP18715,LOC100643607
BIMP13888,
BIMP23753,LOC100652043
BIMP12139,
BIMP15774,
BIMP10547,LOC100648190
BIMP17782,
BIMP12151,
BIMP23418,
BIMP15446,LOC100646848
BIMP22758,LOC100642961
BIMP12568,LOC105666509
BIMP14122,
BIMP25474,LOC100644794
BIMP10826,
BIMP19382,LOC100651177
BIMP11117,
BIMP20176,
BIMP12026,LOC100644449
BIMP13903,LOC105667137
BIMP13953,LOC100650756
BIMP17037,
BIMP15257,LOC100644743
BIMP21194,LOC105666151
BIMP11635,
BIMP11868,
BIMP13789,LOC100646132
BIMP25160,
BIMP18779,LOC100644468
BIMP24499,LOC105667204
BIMP24478,LOC100644050
BIMP25064,LOC100645825
BIMP19801,LOC100643768
BIMP23787,
BIMP10748,LOC100649934
BIMP17869,LOC100646883
BIMP13358,LOC100651333
BIMP18809,LOC100647654
BIMP18836,LOC100642246
BIMP23356,
BIMP11654,LOC105666855
BIMP11227,LOC100648160
BIMP11702,LOC100631091
BIMP11713,LOC100649833
BIMP14964,LOC100648915
BIMP13567,LOC100646890
BIMP15551,
BIMP24944,
BIMP13896,LOC100644999
BIMP19302,LOC100652192
BIMP21007,LOC100651679
BIMP12562,LOC105666275
BIMP21565,LOC100649847
BIMP16302,LOC110119912
BIMP24495,
BIMP21905,LOC100651094
BIMP22883,LOC100650367
BIMP19125,LOC100649703
BIMP10317,LOC100648569
BIMP17115,LOC100643572
BIMP23348,
BIMP16382,LOC100645704
BIMP22788,
BIMP20853,
BIMP25748,LOC100643418
BIMP14520,LOC105665612
BIMP11677,LOC100643960
BIMP11155,
BIMP19865,
BIMP16637,LOC100650773
BIMP15941,LOC100650131
BIMP21906,LOC100650855
BIMP11368,
BIMP11828,LOC100644577
BIMP23879,LOC100643399
BIMP10003,
BIMP17980,LOC105666929
BIMP17980,LOC105667042
BIMP18426,LOC100647586
BIMP17335,
BIMP20894,
BIMP14677,
BIMP17760,
BIMP20951,
BIMP14281,LOC100643472
BIMP14446,
BIMP12226,
BIMP19648,LOC100646578
BIMP19311,
BIMP16047,LOC100643950
BIMP24503,LOC100643798
BIMP25476,LOC100645041
BIMP13467,LOC100643028
BIMP22460,LOC100647500
BIMP11336,LOC100650671
BIMP19677,LOC100650901
BIMP18687,
BIMP16745,LOC100645428
BIMP21501,LOC100651388
BIMP21670,LOC100651203
BIMP17955,LOC100651298
BIMP16471,LOC100642301
BIMP10565,LOC100650306
BIMP10470,LOC100643508
BIMP10473,
BIMP13417,LOC100650396
BIMP25216,LOC100648860
BIMP11783,
BIMP17536,LOC100650781
BIMP16665,
BIMP23079,LOC100650766
BIMP16801,
BIMP11290,
BIMP25832,LOC100650718
BIMP15796,
BIMP24373,LOC100645301
BIMP25861,LOC100646018
BIMP22256,LOC100644473
BIMP17407,LOC100642295
BIMP17113,
BIMP21968,
BIMP17108,
BIMP19905,
BIMP14002,
BIMP18994,LOC105666997
BIMP22700,LOC100642328
BIMP18780,LOC100648192
BIMP20667,
BIMP18303,
BIMP19927,
BIMP18686,
BIMP16281,LOC100646485
BIMP22623,LOC100648674
BIMP13190,
BIMP23240,
BIMP13839,LOC100643523
BIMP20388,
BIMP24031,
BIMP22099,
BIMP18504,LOC100649664
BIMP21125,LOC100648756
BIMP16904,LOC100651030
BIMP16871,LOC100645270
BIMP19746,LOC100647787
BIMP20191,
BIMP12782,LOC100645026
BIMP21275,LOC100645442
BIMP16535,LOC110120041
BIMP14423,LOC100643065
BIMP21009,
BIMP17855,LOC100644949
BIMP25693,LOC100648448
BIMP11467,LOC110119414
BIMP12451,LOC100651563
BIMP19396,LOC100643988
BIMP17529,
BIMP19744,LOC100649827
BIMP14759,
BIMP19245,
BIMP17859,LOC100651302
BIMP16282,LOC100645811
BIMP25518,LOC100646733
BIMP18301,
BIMP12102,LOC100644941
BIMP23394,LOC100648236
BIMP18139,
BIMP12154,
BIMP19493,LOC100645929
BIMP20606,LOC100642496
BIMP25586,LOC100648311
BIMP20507,LOC100648389
BIMP21655,
BIMP19994,LOC100650021
BIMP17488,
BIMP23837,
BIMP20630,
BIMP19495,LOC100645221
BIMP22380,LOC100651389
BIMP15636,LOC110120041
BIMP15501,LOC100644807
BIMP24171,LOC100649341
BIMP17193,
BIMP23801,LOC100652315
BIMP21612,LOC100644295
BIMP12023,LOC100645255
BIMP25754,LOC100652324
BIMP24645,
BIMP17997,
BIMP14289,
BIMP18617,
BIMP23667,
BIMP12904,
BIMP22077,
BIMP15014,LOC100649327
BIMP15353,LOC100643865
BIMP13740,
BIMP12205,
BIMP22258,LOC100643875
BIMP25194,LOC100648938
BIMP21061,
BIMP17971,LOC100647788
BIMP25706,LOC100649662
BIMP17589,
BIMP16064,
BIMP15601,
BIMP24501,LOC100645315
BIMP22415,
BIMP14342,
BIMP20029,LOC100649702
BIMP21129,LOC100648253
BIMP21616,LOC100643695
BIMP24155,LOC100648871
BIMP20938,
BIMP10717,LOC100651887
BIMP25504,LOC100649248
BIMP19467,
BIMP15756,LOC105666549
BIMP21759,
BIMP23759,
BIMP23153,LOC100645595
BIMP16822,LOC100651533
BIMP17927,
BIMP25367,LOC100642523
BIMP11353,LOC100648002
BIMP15772,
BIMP10895,LOC100647046
BIMP21427,LOC100650183
BIMP10877,LOC105666613
BIMP17862,LOC100651661
BIMP23532,LOC100648338
BIMP20845,LOC100651568
BIMP22718,
BIMP19281,LOC100651289
BIMP21898,LOC105666297
BIMP20467,LOC100651782
BIMP11436,
BIMP19800,LOC100643653
BIMP21879,LOC100645295
BIMP24874,
BIMP16571,
BIMP22892,LOC100643817
BIMP19923,
BIMP10483,LOC100643831
BIMP10483,LOC100644540
BIMP13026,
BIMP21529,LOC100651800
BIMP10548,LOC100648077
BIMP21837,LOC100642616
BIMP25750,
BIMP16451,LOC100647011
BIMP13291,LOC100644609
BIMP21888,
BIMP19685,LOC100644620
BIMP13237,
BIMP22095,
BIMP22750,LOC100647459
BIMP24005,LOC100643682
BIMP14875,LOC105666521
BIMP11915,LOC100649054
BIMP25185,LOC100647728
BIMP10837,
BIMP19275,LOC100648906
BIMP11366,
BIMP20536,LOC100649081
BIMP10816,LOC100644916
BIMP12892,
BIMP15643,LOC105666553
BIMP15742,LOC100644982
BIMP10734,LOC100648948
BIMP12492,
BIMP13406,LOC100642434
BIMP24361,LOC100643907
BIMP21220,LOC100648523
BIMP24284,LOC100647710
BIMP20638,LOC100651573
BIMP16141,LOC100652314
BIMP21640,LOC100651569
BIMP11776,
BIMP12230,
BIMP16656,
BIMP15820,LOC110120182
BIMP11880,
BIMP15748,LOC100644346
BIMP24239,LOC100651832
BIMP11245,
BIMP15906,LOC105667177
BIMP25599,LOC100643962
BIMP12322,LOC100645252
BIMP10148,LOC100644250
BIMP20818,LOC110119414
BIMP10030,LOC100645984
BIMP11101,LOC100647277
BIMP11021,LOC100648106
BIMP20519,
BIMP12824,
BIMP11561,LOC100648282
BIMP16263,LOC100645893
BIMP25451,
BIMP18056,
BIMP18086,LOC100652036
BIMP12114,LOC105666445
BIMP21358,LOC100651917
BIMP15282,LOC100649862
BIMP13123,LOC100647178
BIMP17360,LOC100646514
BIMP24139,LOC100651292
BIMP23766,LOC100649811
BIMP17889,LOC100642267
BIMP11238,
BIMP23782,
BIMP25340,LOC100644092
BIMP16889,LOC100651304
BIMP24520,LOC100645439
BIMP24309,LOC100649595
BIMP11867,
BIMP14853,LOC100646964
BIMP18369,LOC100649105
BIMP12027,LOC100644263
BIMP16166,LOC100647219
BIMP11979,
BIMP18460,LOC105665623
BIMP13969,
BIMP20544,
BIMP21498,LOC100650791
BIMP19082,
BIMP11048,LOC100648096
BIMP15579,
BIMP10517,LOC100642711
BIMP16826,LOC100642290
BIMP14721,
BIMP22893,LOC100644143
BIMP14273,LOC100645151
BIMP10417,LOC105665671
BIMP22356,LOC100650017
BIMP19621,LOC100651477
BIMP18607,LOC105666988
BIMP10539,LOC100650747
BIMP24394,
BIMP17852,LOC100643915
BIMP13361,LOC100651085
BIMP21168,LOC100650732
BIMP10160,
BIMP11691,
BIMP11657,LOC100649482
BIMP19103,LOC100644938
BIMP13899,LOC100643727
BIMP13451,LOC100644991
BIMP25780,LOC100650006
BIMP22922,LOC100647560
BIMP14972,LOC100650789
BIMP15975,
BIMP18558,LOC100644894
BIMP12500,LOC100646260
BIMP19698,
BIMP17267,LOC100643564
BIMP24392,LOC105666437
BIMP19753,LOC100642862
BIMP11889,
BIMP22451,LOC100648278
BIMP23925,LOC100650827
BIMP23208,
BIMP25206,LOC100651441
BIMP12886,
BIMP11795,
BIMP14647,
BIMP17627,LOC100651465
BIMP13810,LOC100648473
BIMP21377,
BIMP11966,LOC100646254
BIMP18918,LOC100646501
BIMP15599,
BIMP11575,LOC100645328
BIMP10230,LOC100647938
BIMP16006,
BIMP25642,LOC100643272
BIMP12476,
BIMP15098,LOC100643007
BIMP14398,LOC100643836
BIMP23551,LOC100650252
BIMP12479,
BIMP18153,LOC110120071
BIMP11178,LOC100644309
BIMP24849,
BIMP14863,LOC100650460
BIMP12474,LOC100646062
BIMP12474,LOC110119164
BIMP17110,
BIMP18296,
BIMP25302,LOC100652316
BIMP13966,LOC100648737
BIMP12436,LOC105665771
BIMP11217,LOC100647569
BIMP21626,LOC100643575
BIMP19395,LOC100644228
BIMP10307,LOC100646960
BIMP19911,
BIMP17865,LOC100647124
BIMP24752,LOC100646707
BIMP18747,LOC100645369
BIMP20118,LOC100644456
BIMP12271,LOC100647738
BIMP18147,
BIMP19442,LOC100644037
BIMP12665,
BIMP24802,LOC100644024
BIMP13664,LOC100650442
BIMP17649,LOC100650303
BIMP12494,LOC105666717
BIMP11448,LOC105666727
BIMP25578,LOC100651114
BIMP13568,LOC100647130
BIMP18641,LOC100646610
BIMP18326,
BIMP19141,LOC100646674
BIMP24337,
BIMP11301,
BIMP22834,LOC100646629
BIMP21405,
BIMP10154,LOC100645119
BIMP23952,LOC100642514
BIMP19112,LOC100644073
BIMP23946,
BIMP14653,LOC100651370
BIMP13844,
BIMP17688,
BIMP23606,LOC100652292
BIMP10730,LOC105666115
BIMP10625,
BIMP19578,LOC100645084
BIMP14750,
BIMP12652,
BIMP12891,LOC105666904
BIMP12393,LOC100646141
BIMP15131,LOC100645091
BIMP18266,
BIMP10685,LOC100647663
BIMP25222,
BIMP13661,LOC100644253
BIMP18418,LOC100650005
BIMP17362,LOC100646874
BIMP11450,
BIMP12850,LOC100651991
BIMP21953,
BIMP17022,LOC100643967
BIMP13294,LOC100643940
BIMP20305,LOC105666461
BIMP21900,LOC100650295
BIMP19878,
BIMP20971,LOC100643249
BIMP17114,
BIMP12537,LOC100642323
BIMP18283,
BIMP25855,LOC100644323
BIMP25525,LOC105666392
BIMP13010,
BIMP13908,LOC100645705
BIMP25651,LOC100651630
BIMP25773,
BIMP23996,LOC100645669
BIMP23281,LOC100648400
BIMP11324,
BIMP13739,
BIMP11621,LOC100648129
BIMP24755,
BIMP19242,LOC100646518
BIMP12185,
BIMP13955,
BIMP20364,LOC100645433
BIMP13508,LOC100644354
BIMP11046,LOC105666458
BIMP11556,LOC105665995
BIMP20119,
BIMP23073,LOC100651524
BIMP24161,LOC100647512
BIMP25460,
BIMP14309,LOC100647885
BIMP13463,LOC100648963
BIMP22426,LOC100646869
BIMP24774,
BIMP17001,LOC110119981
BIMP20848,
BIMP18731,LOC105665731
BIMP14897,LOC100643829
BIMP19453,LOC105666602
BIMP13193,LOC105666966
BIMP13193,LOC100648233
BIMP13193,LOC110120192
BIMP19844,LOC105667066
BIMP12337,LOC100652164
BIMP22022,LOC100647345
BIMP13815,LOC100647140
BIMP10092,
BIMP21154,LOC100644096
BIMP20781,LOC100645979
BIMP14344,LOC100645429
BIMP16859,
BIMP19316,LOC100650557
BIMP20919,
BIMP10571,LOC100648304
BIMP23477,LOC100647394
BIMP17521,LOC100647940
BIMP24950,
BIMP11348,LOC105666904
BIMP24257,
BIMP13380,LOC100644098
BIMP21605,
BIMP21065,
BIMP10360,
BIMP13916,LOC100646771
BIMP15735,LOC105666556
BIMP18134,LOC100646853
BIMP19235,LOC100648032
BIMP23595,LOC105666424
BIMP20323,LOC100650391
BIMP22968,LOC100642518
BIMP10908,
BIMP10798,
BIMP14110,LOC105666463
BIMP16658,
BIMP18738,
BIMP25548,
BIMP10738,LOC105666116
BIMP11852,
BIMP21198,LOC100646953
BIMP23943,LOC105666721
BIMP19702,
BIMP15190,
BIMP14985,LOC100648769
BIMP16550,LOC100646079
BIMP24592,
BIMP17638,LOC100644381
BIMP11338,LOC100650912
BIMP25696,LOC100647985
BIMP13047,LOC100644798
BIMP18941,
BIMP10033,
BIMP13229,
BIMP12273,LOC105666041
BIMP23385,
BIMP22739,LOC100648976
BIMP21177,LOC100648366
BIMP13159,LOC100644921
BIMP22443,LOC100647146
BIMP19834,
BIMP21591,LOC100647739
BIMP12132,
BIMP13897,LOC100644283
BIMP10714,LOC100651334
BIMP23865,LOC100646375
BIMP23042,LOC100642997
BIMP20101,LOC105666228
BIMP18373,
BIMP22802,
BIMP25432,LOC105667040
BIMP21073,LOC110119149
BIMP15994,LOC100647879
BIMP15673,LOC100651300
BIMP25023,
BIMP23851,
BIMP14531,LOC100645181
BIMP21170,LOC100650088
BIMP24324,LOC100651852
BIMP19046,LOC105666509
BIMP15044,
BIMP16310,
BIMP15596,
BIMP22364,LOC100642980
BIMP21262,LOC100631070
BIMP17736,
BIMP13835,LOC100644286
BIMP25346,LOC105666096
BIMP14942,LOC100649899
BIMP19727,LOC100648487
BIMP25106,LOC105666717
BIMP19971,LOC100642474
BIMP24313,LOC100650174
BIMP12914,
BIMP15345,LOC100644787
BIMP10665,LOC100646425
BIMP13719,
BIMP18522,LOC100647829
BIMP19290,LOC100650891
BIMP12716,LOC110120141
BIMP12716,LOC105666827
BIMP10793,LOC105666169
BIMP19819,LOC100650119
BIMP15134,LOC100645337
BIMP13376,LOC100646717
BIMP14345,LOC100642549
BIMP17561,
BIMP16422,LOC100652107
BIMP18636,
BIMP11509,LOC100648879
BIMP13729,LOC100646247
BIMP13129,LOC100646820
BIMP17312,LOC100650758
BIMP15527,LOC100644138
BIMP11538,LOC100646981
BIMP17856,LOC100645066
BIMP21143,LOC100646031
BIMP13353,LOC100648099
BIMP15507,LOC100645915
BIMP19041,
BIMP11461,
BIMP22401,LOC100644235
BIMP25274,
BIMP13232,LOC100645202
BIMP18957,LOC105665758
BIMP16866,LOC100649768
BIMP14878,LOC100644536
BIMP18881,
BIMP12905,
BIMP10311,LOC105666338
BIMP10157,
BIMP21547,LOC100651491
BIMP12386,LOC100646704
BIMP24574,LOC100646406
BIMP16546,
BIMP11146,LOC100650012
BIMP20915,
BIMP14864,LOC100643503
BIMP18169,LOC105666613
BIMP10361,
BIMP16022,LOC100649483
BIMP14890,LOC100642901
BIMP11544,LOC100648901
BIMP21966,
BIMP21443,LOC100651144
BIMP25652,LOC100650799
BIMP11906,LOC100646778
BIMP11249,LOC100651590
BIMP19438,LOC100642978
BIMP19580,LOC100644404
BIMP16257,
BIMP21186,LOC100649739
BIMP11317,LOC110119206
BIMP15061,LOC100642377
BIMP12429,LOC100646503
BIMP24560,LOC100642799
BIMP14989,
BIMP18170,
BIMP20137,
BIMP19519,LOC105665621
BIMP14073,LOC100648534
BIMP14473,LOC100643054
BIMP19120,LOC100648529
BIMP20668,
BIMP19454,LOC100643345
BIMP15015,
BIMP20409,LOC100648780
BIMP25480,
BIMP25075,
BIMP24936,
BIMP20401,LOC100649989
BIMP18194,
BIMP13330,
BIMP17549,LOC100647591
BIMP25094,
BIMP16711,LOC105666598
BIMP16623,
BIMP21753,LOC100646973
BIMP24595,
BIMP21209,
BIMP18135,
BIMP10781,LOC100642459
BIMP13484,LOC100650388
BIMP25729,
BIMP12399,LOC100644014
BIMP14477,
BIMP15717,LOC100650982
BIMP18603,LOC100647207
BIMP14384,LOC100651511
BIMP23540,LOC100647234
BIMP24657,
BIMP13157,LOC100645404
BIMP25046,LOC100643441
BIMP19717,
BIMP22957,LOC100649452
BIMP12660,
BIMP18646,LOC100644831
BIMP22222,LOC100645400
BIMP19225,
BIMP14173,LOC100650849
BIMP21081,
BIMP22742,LOC100649450
BIMP17599,LOC100646757
BIMP19253,LOC100643103
BIMP24147,
BIMP24960,LOC100642436
BIMP24759,
BIMP14856,LOC100644579
BIMP18189,
BIMP22484,LOC100646959
BIMP25312,LOC100647301
BIMP22543,LOC100649600
BIMP22247,LOC100646648
BIMP20183,
BIMP15806,
BIMP10891,LOC100643868
BIMP24648,
BIMP16227,LOC100649579
BIMP17376,LOC100649347
BIMP25449,
BIMP20131,LOC100644690
BIMP22263,LOC100642596
BIMP23492,LOC100650538
BIMP17227,LOC100649969
BIMP19655,
BIMP18255,
BIMP19656,LOC105667000
BIMP15197,LOC100649603
BIMP24513,LOC100644923
BIMP16800,
BIMP19552,LOC100647580
BIMP10689,LOC100643290
BIMP14295,LOC100651184
BIMP15452,
BIMP19502,LOC100647246
BIMP14688,
BIMP13596,
BIMP18835,LOC100642753
BIMP19144,LOC100646194
BIMP21296,
BIMP10651,LOC100648404
BIMP21600,
BIMP11147,LOC100645962
BIMP22455,LOC100647969
BIMP18214,LOC100643095
BIMP21923,
BIMP20094,LOC100643858
BIMP22960,LOC100650440
BIMP21105,
BIMP19461,LOC100652297
BIMP19431,LOC100651701
BIMP23656,LOC100643939
BIMP13324,LOC100646264
BIMP17372,LOC100649227
BIMP14004,
BIMP17105,
BIMP23113,LOC100646259
BIMP24095,LOC100647256
BIMP21632,LOC100650647
BIMP10554,LOC100651822
BIMP11067,
BIMP11487,
BIMP14364,
BIMP16505,LOC100649828
BIMP23855,LOC100647721
BIMP11579,
BIMP18771,LOC100646397
BIMP17039,
BIMP10672,LOC100645130
BIMP16709,
BIMP10591,LOC105665611
BIMP13359,LOC100650729
BIMP17369,LOC100647392
BIMP16356,LOC100646486
BIMP20986,LOC100647038
BIMP20836,LOC100651371
BIMP18572,LOC100651764
BIMP19811,
BIMP17617,LOC100642663
BIMP11097,LOC100647237
BIMP14431,
BIMP22080,LOC100647339
BIMP23374,
BIMP14603,
BIMP17509,
BIMP19682,LOC100650937
BIMP18269,
BIMP20947,
BIMP25469,LOC100643865
BIMP16404,LOC105667113
BIMP20688,LOC105666428
BIMP21052,LOC100642567
BIMP18782,LOC100648495
BIMP13201,LOC100651884
BIMP17137,LOC100645294
BIMP22025,
BIMP25661,
BIMP14582,
BIMP23896,LOC100650191
BIMP22209,LOC100643515
BIMP22076,LOC105665949
BIMP13623,LOC100645632
BIMP10673,LOC100645497
BIMP17234,LOC100648687
BIMP22274,LOC100649560
BIMP17337,LOC110120330
BIMP14481,LOC100642686
BIMP15118,LOC100651960
BIMP25024,LOC100644301
BIMP12005,LOC100648792
BIMP23797,LOC100651526
BIMP12340,LOC100642694
BIMP21510,LOC100651077
BIMP11754,LOC110120243
BIMP13125,LOC100646460
BIMP22910,
BIMP24391,LOC100649470
BIMP17462,LOC100648337
BIMP21779,LOC100648104
BIMP21785,
BIMP13643,LOC100651566
BIMP24278,
BIMP25053,
BIMP19377,LOC100648940
BIMP25213,LOC100644603
BIMP16806,LOC100647813
BIMP19478,LOC100647914
BIMP20816,LOC100649135
BIMP14018,
BIMP22521,
BIMP15458,LOC100646080
BIMP17919,
BIMP22462,
BIMP14995,LOC100652093
BIMP19282,LOC100643944
BIMP23263,
BIMP10388,LOC100647855
BIMP13336,
BIMP16202,
BIMP17241,LOC100651402
BIMP21261,LOC100631070
BIMP19749,LOC105667177
BIMP15732,LOC100646562
BIMP13301,LOC100649814
BIMP20889,LOC100642772
BIMP24024,
BIMP19860,LOC105666966
BIMP19860,LOC100648233
BIMP19860,LOC110120192
BIMP13497,LOC100652027
BIMP24188,LOC100642648
BIMP22357,LOC100646203
BIMP12621,
BIMP21033,
BIMP24072,LOC100642425
BIMP13940,LOC100642481
BIMP15815,
BIMP15144,
BIMP25223,
BIMP15436,LOC110119983
BIMP23376,
BIMP23522,LOC100650498
BIMP16140,LOC100652194
BIMP20267,LOC100651068
BIMP20260,LOC100651747
BIMP15983,LOC100649238
BIMP19299,LOC105667067
BIMP14661,LOC100649625
BIMP20103,LOC105666311
BIMP17496,
BIMP20023,LOC100648731
BIMP20503,LOC105667051
BIMP25047,LOC100648355
BIMP13483,LOC105666912
BIMP15979,
BIMP13990,
BIMP12120,LOC100649031
BIMP25357,LOC100648284
BIMP12101,LOC100647354
BIMP13710,LOC100649624
BIMP13273,LOC100651763
BIMP19625,
BIMP22249,
BIMP24355,LOC100643057
BIMP19623,LOC100651712
BIMP21855,
BIMP13546,
BIMP23760,LOC100647622
BIMP24637,
BIMP21523,LOC100649879
BIMP18853,LOC100649689
BIMP23388,
BIMP16660,LOC110119215
BIMP20268,LOC100642438
BIMP21718,
BIMP10401,LOC100644959
BIMP22261,LOC100643395
BIMP22081,LOC100647220
BIMP24711,LOC100643324
BIMP22264,LOC100642479
BIMP15602,
BIMP14630,LOC100646083
BIMP14323,LOC100644277
BIMP12043,LOC100642698
BIMP24712,LOC100643078
BIMP15671,LOC100651818
BIMP20875,
BIMP25874,LOC100649050
BIMP14937,LOC100643218
BIMP12501,
BIMP15703,LOC100644698
BIMP18459,LOC100650735
BIMP16172,LOC100645005
BIMP21536,
BIMP23490,LOC105665615
BIMP19069,LOC105666509
BIMP24586,
BIMP20717,LOC105665736
BIMP16457,
BIMP15508,LOC110119506
BIMP18044,
BIMP17415,
BIMP16722,LOC100644584
BIMP20641,LOC100652287
BIMP17705,LOC100650497
BIMP21819,LOC100652205
BIMP18632,
BIMP24552,LOC105665646
BIMP23969,LOC100649761
BIMP20705,
BIMP15388,
BIMP22502,
BIMP14789,
BIMP18552,
BIMP25785,LOC100651913
BIMP12686,LOC100642511
BIMP17160,LOC100651494
BIMP14563,LOC105667086
BIMP11083,LOC100646926
BIMP13862,
BIMP20557,LOC105667177
BIMP11641,
BIMP19486,
BIMP19217,LOC105666096
BIMP18026,
BIMP15060,
BIMP11796,
BIMP12534,LOC100651365
BIMP11206,LOC100649528
BIMP15033,LOC105666458
BIMP22102,
BIMP11359,
BIMP16210,LOC100645715
BIMP22888,LOC100642854
BIMP22340,LOC100646328
BIMP24430,LOC105667177
BIMP19224,
BIMP16593,LOC100643427
BIMP20946,
BIMP20620,LOC100648908
BIMP18155,LOC100648231
BIMP22770,LOC100643964
BIMP21563,LOC100649264
BIMP12070,LOC100647786
BIMP21046,LOC100647846
BIMP15083,LOC100649524
BIMP15083,LOC100643777
BIMP21507,
BIMP22896,LOC100646748
BIMP11846,LOC105666791
BIMP11846,LOC105666867
BIMP12313,LOC100647505
BIMP11434,
BIMP16089,
BIMP13812,
BIMP16435,
BIMP18574,LOC100651841
BIMP25863,LOC100647013
BIMP10709,LOC100644142
BIMP18468,
BIMP23269,LOC100647323
BIMP23934,LOC100649430
BIMP21213,LOC100646265
BIMP11333,LOC100650064
BIMP17824,LOC100645240
BIMP25167,
BIMP18567,LOC100643736
BIMP10266,LOC110119755
BIMP19619,LOC105667088
BIMP23856,
BIMP14028,
BIMP21345,LOC100650636
BIMP24740,LOC105665840
BIMP22363,LOC100651585
BIMP11341,LOC100651232
BIMP14326,LOC100643471
BIMP24012,
BIMP23117,LOC100647620
BIMP15275,LOC100650018
BIMP23359,
BIMP16962,LOC100651985
BIMP23860,LOC100646941
BIMP15339,
BIMP11734,
BIMP23701,LOC105665989
BIMP21320,LOC105665661
BIMP18890,LOC100642957
BIMP17119,LOC100644402
BIMP23482,
BIMP22857,LOC100647700
BIMP15208,LOC100649642
BIMP10806,LOC100652007
BIMP15030,LOC100643250
BIMP25572,LOC100649561
BIMP16136,
BIMP16524,LOC100644103
BIMP22483,
BIMP11139,LOC100651896
BIMP23912,
BIMP17946,LOC100644078
BIMP13559,LOC100642314
BIMP17264,LOC100642681
BIMP24211,
BIMP17864,LOC100646443
BIMP15533,LOC100648752
BIMP18672,
BIMP25540,
BIMP25814,LOC100645670
BIMP13809,LOC100643062
BIMP13378,LOC105666273
BIMP15795,
BIMP15094,LOC100642969
BIMP20793,LOC105666696
BIMP10443,LOC100650118
BIMP10342,
BIMP21253,LOC100649086
BIMP16601,LOC100644765
BIMP10382,LOC100649297
BIMP18628,
BIMP19365,
BIMP16817,LOC100650568
BIMP24989,LOC100651293
BIMP21473,LOC100652099
BIMP20710,LOC105666458
BIMP11410,LOC100649767
BIMP10029,
BIMP25843,
BIMP22898,LOC100644853
BIMP22814,
BIMP12045,LOC105666171
BIMP19769,LOC100651732
BIMP11698,LOC100643674
BIMP25577,LOC100650551
BIMP15096,LOC100645919
BIMP15228,LOC100652330
BIMP24807,
BIMP14299,LOC100650510
BIMP23006,LOC100642726
BIMP24719,LOC100644366
BIMP24524,LOC100650678
BIMP11337,
BIMP19771,
BIMP11276,LOC100647699
BIMP18527,LOC100643454
BIMP17938,LOC100648264
BIMP17938,LOC100648379
BIMP17938,LOC100647917
